AChBP,Ca22,Na12,α3β2,α3β4,α4β2,α7,α9α10
0.625,0.72,0.5625,0.6875,0.6,0.7894736842105263,0.5833333333333334,0.6875
0.6875,0.68,0.625,0.625,0.5333333333333333,0.7368421052631579,0.5833333333333334,0.6875
0.625,0.76,0.625,0.6875,0.6666666666666666,0.7368421052631579,0.5833333333333334,0.6875
0.6875,0.76,0.5625,0.6875,0.6666666666666666,0.7368421052631579,0.5,0.6875
0.6875,0.72,0.625,0.5625,0.6,0.7894736842105263,0.5833333333333334,0.625
0.6875,0.76,0.625,0.6875,0.6666666666666666,0.7368421052631579,0.5833333333333334,0.6875
0.6875,0.76,0.625,0.5625,0.6666666666666666,0.7894736842105263,0.5,0.6875
0.625,0.72,0.625,0.625,0.6666666666666666,0.7368421052631579,0.5833333333333334,0.6875
0.6875,0.76,0.625,0.6875,0.6666666666666666,0.631578947368421,0.5833333333333334,0.625
0.6875,0.68,0.625,0.6875,0.6666666666666666,0.7368421052631579,0.5833333333333334,0.6875
0.625,0.76,0.5625,0.625,0.6,0.7368421052631579,0.5833333333333334,0.5
0.625,0.72,0.625,0.5625,0.6,0.7894736842105263,0.5833333333333334,0.5
0.6875,0.64,0.5625,0.5625,0.5333333333333333,0.7894736842105263,0.5,0.625
0.6875,0.72,0.5625,0.625,0.6,0.7894736842105263,0.5833333333333334,0.6875
0.6875,0.76,0.625,0.6875,0.6,0.7894736842105263,0.5833333333333334,0.6875
0.625,0.76,0.5625,0.6875,0.6666666666666666,0.7368421052631579,0.5,0.6875
0.625,0.76,0.625,0.6875,0.5333333333333333,0.7894736842105263,0.5833333333333334,0.6875
0.625,0.72,0.5625,0.625,0.6666666666666666,0.7894736842105263,0.5833333333333334,0.6875
0.625,0.76,0.5,0.6875,0.5333333333333333,0.7894736842105263,0.5,0.625
0.625,0.68,0.625,0.6875,0.6,0.7894736842105263,0.5833333333333334,0.6875
0.6875,0.72,0.625,0.6875,0.5333333333333333,0.6842105263157895,0.5,0.625
0.6875,0.68,0.625,0.6875,0.6666666666666666,0.7368421052631579,0.5833333333333334,0.625
0.6875,0.72,0.625,0.6875,0.6666666666666666,0.6842105263157895,0.5833333333333334,0.6875
0.6875,0.76,0.625,0.6875,0.6,0.7368421052631579,0.5833333333333334,0.6875
0.5625,0.76,0.5625,0.6875,0.6,0.7894736842105263,0.5833333333333334,0.6875
0.625,0.76,0.625,0.5625,0.6666666666666666,0.6842105263157895,0.5,0.6875
0.6875,0.76,0.625,0.6875,0.5333333333333333,0.6842105263157895,0.5833333333333334,0.6875
0.625,0.72,0.625,0.625,0.6,0.6842105263157895,0.5833333333333334,0.6875
0.6875,0.76,0.625,0.625,0.6666666666666666,0.7894736842105263,0.5,0.6875
0.6875,0.68,0.625,0.6875,0.6666666666666666,0.7894736842105263,0.5833333333333334,0.6875
0.625,0.64,0.625,0.625,0.6666666666666666,0.7368421052631579,0.5833333333333334,0.6875
0.625,0.64,0.625,0.625,0.6666666666666666,0.7894736842105263,0.5833333333333334,0.6875
0.625,0.68,0.625,0.625,0.6666666666666666,0.7894736842105263,0.5833333333333334,0.6875
0.625,0.76,0.625,0.625,0.6,0.7894736842105263,0.5,0.6875
0.6875,0.76,0.5625,0.6875,0.5333333333333333,0.7894736842105263,0.5,0.625
0.6875,0.72,0.5625,0.6875,0.6,0.7894736842105263,0.5833333333333334,0.6875
0.6875,0.68,0.5625,0.6875,0.5333333333333333,0.7368421052631579,0.5833333333333334,0.6875
0.5625,0.76,0.625,0.6875,0.6,0.7894736842105263,0.5833333333333334,0.6875
0.6875,0.76,0.625,0.5625,0.6666666666666666,0.7894736842105263,0.5833333333333334,0.625
0.625,0.72,0.4375,0.625,0.6,0.7368421052631579,0.5,0.6875
0.625,0.76,0.5625,0.6875,0.6,0.6842105263157895,0.4166666666666667,0.6875
0.6875,0.76,0.5625,0.625,0.6,0.7368421052631579,0.5833333333333334,0.625
0.625,0.76,0.625,0.625,0.6666666666666666,0.7368421052631579,0.5,0.6875
0.625,0.76,0.625,0.625,0.6666666666666666,0.6842105263157895,0.5,0.5625
0.6875,0.76,0.625,0.5625,0.5333333333333333,0.6842105263157895,0.5,0.6875
0.5625,0.68,0.5625,0.625,0.6666666666666666,0.7368421052631579,0.5,0.6875
0.625,0.72,0.625,0.625,0.6,0.7894736842105263,0.5,0.625
0.625,0.68,0.625,0.625,0.6,0.7894736842105263,0.4166666666666667,0.625
0.625,0.72,0.625,0.625,0.6,0.6842105263157895,0.5833333333333334,0.625
0.6875,0.76,0.5625,0.625,0.6,0.7894736842105263,0.5,0.6875
0.625,0.72,0.625,0.6875,0.5333333333333333,0.631578947368421,0.5833333333333334,0.6875
0.6875,0.76,0.5625,0.6875,0.6666666666666666,0.7894736842105263,0.5833333333333334,0.625
0.6875,0.76,0.625,0.6875,0.6,0.7368421052631579,0.5,0.6875
0.6875,0.72,0.625,0.6875,0.6666666666666666,0.7368421052631579,0.5833333333333334,0.5625
0.625,0.72,0.625,0.5625,0.6666666666666666,0.6842105263157895,0.5833333333333334,0.625
0.5625,0.76,0.625,0.6875,0.6666666666666666,0.7368421052631579,0.5833333333333334,0.6875
0.5625,0.68,0.5625,0.625,0.6,0.7368421052631579,0.4166666666666667,0.6875
0.6875,0.76,0.625,0.6875,0.6666666666666666,0.7894736842105263,0.5833333333333334,0.6875
0.625,0.72,0.625,0.625,0.6666666666666666,0.7368421052631579,0.4166666666666667,0.5625
0.6875,0.76,0.625,0.5625,0.6,0.7368421052631579,0.5833333333333334,0.6875
0.625,0.72,0.625,0.6875,0.6666666666666666,0.7894736842105263,0.5833333333333334,0.6875
0.6875,0.72,0.625,0.625,0.6666666666666666,0.6842105263157895,0.5833333333333334,0.625
0.6875,0.68,0.5,0.5625,0.6666666666666666,0.6842105263157895,0.5833333333333334,0.6875
0.6875,0.72,0.5625,0.5625,0.6,0.631578947368421,0.5833333333333334,0.625
0.6875,0.72,0.5625,0.5625,0.6666666666666666,0.7368421052631579,0.5833333333333334,0.6875
0.625,0.72,0.5,0.625,0.6,0.7894736842105263,0.5833333333333334,0.6875
0.6875,0.76,0.625,0.6875,0.6,0.7368421052631579,0.5833333333333334,0.625
0.5625,0.76,0.625,0.625,0.6666666666666666,0.7368421052631579,0.5833333333333334,0.625
0.625,0.76,0.625,0.6875,0.6666666666666666,0.7368421052631579,0.5,0.6875
0.625,0.76,0.625,0.6875,0.6666666666666666,0.7368421052631579,0.5833333333333334,0.6875
0.6875,0.68,0.625,0.625,0.6666666666666666,0.7368421052631579,0.4166666666666667,0.6875
0.625,0.72,0.5625,0.6875,0.6666666666666666,0.7368421052631579,0.4166666666666667,0.6875
0.625,0.76,0.5625,0.6875,0.6666666666666666,0.631578947368421,0.5,0.6875
0.6875,0.76,0.625,0.6875,0.6666666666666666,0.7894736842105263,0.5833333333333334,0.625
0.625,0.76,0.5625,0.5625,0.6666666666666666,0.7894736842105263,0.5,0.625
0.625,0.72,0.625,0.6875,0.6666666666666666,0.7368421052631579,0.5833333333333334,0.625
0.6875,0.76,0.625,0.5625,0.6666666666666666,0.7368421052631579,0.5833333333333334,0.6875
0.6875,0.64,0.625,0.625,0.6,0.7894736842105263,0.5833333333333334,0.625
0.5625,0.76,0.625,0.625,0.6,0.7368421052631579,0.5833333333333334,0.6875
0.6875,0.76,0.625,0.625,0.5333333333333333,0.7368421052631579,0.5833333333333334,0.625
0.5625,0.76,0.625,0.6875,0.6666666666666666,0.7894736842105263,0.4166666666666667,0.625
0.6875,0.76,0.625,0.625,0.6,0.7894736842105263,0.5833333333333334,0.6875
0.6875,0.72,0.625,0.6875,0.6666666666666666,0.7894736842105263,0.5833333333333334,0.6875
0.625,0.68,0.625,0.625,0.6,0.7894736842105263,0.5833333333333334,0.625
0.6875,0.76,0.625,0.5625,0.6,0.7368421052631579,0.5833333333333334,0.6875
0.625,0.76,0.625,0.6875,0.5333333333333333,0.7368421052631579,0.5,0.625
0.6875,0.68,0.5,0.6875,0.6666666666666666,0.7368421052631579,0.5833333333333334,0.6875
0.625,0.72,0.625,0.6875,0.6666666666666666,0.7894736842105263,0.5,0.625
0.5625,0.68,0.625,0.625,0.6,0.7894736842105263,0.5,0.6875
0.625,0.72,0.5625,0.5625,0.6666666666666666,0.7894736842105263,0.5833333333333334,0.6875
0.6875,0.76,0.625,0.6875,0.4666666666666667,0.7894736842105263,0.5833333333333334,0.625
0.6875,0.68,0.5,0.6875,0.4666666666666667,0.7368421052631579,0.5,0.6875
0.6875,0.72,0.625,0.625,0.4666666666666667,0.7894736842105263,0.5833333333333334,0.6875
0.6875,0.68,0.5625,0.625,0.6666666666666666,0.6842105263157895,0.5833333333333334,0.6875
0.625,0.72,0.625,0.5625,0.6,0.7368421052631579,0.5833333333333334,0.6875
0.6875,0.72,0.5625,0.625,0.6666666666666666,0.7894736842105263,0.5833333333333334,0.6875
0.6875,0.72,0.625,0.6875,0.5333333333333333,0.7368421052631579,0.5,0.6875
